answer,choicedCardRule,sortingRule,RT 
0,0,0,3250.3723 
0,0,0,2205.8186 
0,0,0,1364.9916 
0,0,0,709.6373 
0,0,0,877.8712 
0,0,0,893.2201 
1,0,1,797.2854 
0,1,1,1925.7463 
0,1,1,1389.2798 
0,1,1,812.7733 
0,1,1,1109.5478 
0,1,1,1637.9071 
0,1,1,1117.2626 
1,1,2,981.724 
1,0,2,2125.5921 
0,2,2,1013.9117 
0,2,2,821.1415 
0,2,2,1053.6286 
0,2,2,877.2431 
0,2,2,1061.1769 
0,2,2,797.5745 
1,2,0,813.3552 
0,0,0,1733.5291 
1,1,0,1485.6665 
1,1,0,1252.6779 
0,0,0,2669.4011 
0,0,0,869.6194 
0,0,0,758.0388 
0,0,0,677.2994 
0,0,0,869.9753 
0,0,0,709.4736 
1,0,1,1029.5841 
1,2,1,1397.8737 
0,1,1,1846.0061 
0,1,1,1197.4934 
0,1,1,981.6097 
0,1,1,1461.8055 
0,1,1,868.6038 
0,1,1,981.4023 
1,1,2,1069.4889 
0,2,2,1133.4451 
0,2,2,1021.3895 
0,2,2,757.6297 
0,2,2,637.0575 
0,2,2,741.1216 
0,2,2,781.5427 
1,2,1,1021.6216 
1,0,1,1445.7111 
