answer,choicedCardRule,sortingRule,RT 
1,1,0,2721.5763 
1,1,0,1276.9902 
0,0,0,1453.2234 
0,0,0,708.7547 
0,0,0,932.7704 
0,0,0,989.2546 
0,0,0,820.9135 
0,0,0,972.5901 
1,0,2,860.4498 
1,1,2,2688.8003 
0,2,2,1820.9815 
0,2,2,852.4701 
0,2,2,916.9821 
0,2,2,893.392 
0,2,2,996.1261 
0,2,2,908.6918 
1,2,0,1148.5661 
0,0,0,3948.1819 
0,0,0,3046.4726 
0,0,0,1837.0551 
0,0,0,1616.5528 
0,0,0,1661.014 
0,0,0,1068.6845 
0,2,2,1224.3571 
0,2,2,2645.66 
0,2,2,972.6777 
0,2,2,1064.3214 
0,2,2,1068.7968 
0,2,2,879.8689 
1,2,1,2432.2194 
1,0,1,2460.8347 
0,1,1,1445.3905 
0,1,1,1828.9617 
0,1,1,965.2104 
0,1,1,1357.1186 
0,1,1,1653.3459 
0,1,1,1141.1968 
1,2,0,1573.3293 
0,0,0,1540.598 
0,0,0,1613.1052 
0,0,0,2085.6013 
0,0,0,1268.9684 
0,0,0,1437.1652 
0,0,0,1165.3185 
1,2,1,1500.1668 
1,2,1,2941.9468 
0,1,1,3573.1739 
0,1,1,3613.5813 
0,1,1,1131.6247 
0,1,1,3563.783 
0,1,1,1436.1113 
0,1,1,1468.2281 
1,1,0,1397.0787 
1,2,0,1482.8853 
1,2,0,1789.1784 
0,0,0,3139.5444 
0,0,0,1003.2263 
0,0,0,1293.0616 
0,0,0,755.5954 
0,0,0,812.52 
0,0,0,778.5434 
1,2,1,1123.3974 
1,2,1,1523.8963 
1,2,1,2012.3887 
1,0,1,2236.5705 
1,2,1,1475.4002 
0,1,1,2012.0177 
0,1,1,964.1602 
0,1,1,845.0771 
0,1,1,3371.6206 
0,1,1,1083.7908 
0,1,1,1115.3736 
1,1,2,1444.0621 
0,2,2,1451.2074 
0,2,2,915.3353 
0,2,2,955.4704 
0,2,2,821.1858 
0,2,2,1371.6536 
0,2,2,859.5991 
0,0,0,1276.1303 
0,0,0,1035.2275 
0,0,0,924.1004 
0,0,0,1915.8536 
0,0,0,1227.8722 
0,0,0,1725.0358 
1,0,2,2370.8626 
0,2,2,3339.8043 
1,1,2,3459.9921 
2,-1,2,5014.8289 
1,0,2,2728.6951 
1,0,2,1500.2461 
0,2,2,1556.9614 
0,2,2,915.4185 
0,2,2,1331.2981 
0,2,2,2123.5612 
0,2,2,1035.3206 
