,task1,task2,task3,task4
correct,0.8333333333333334,0.68,0.7578947368421053,0.7848101265822784
error,0.16666666666666666,0.32,0.24210526315789474,0.21518987341772153
CA,12.0,7.0,11.0,7.0
PE,0.010416666666666666,0.10666666666666667,0.09473684210526316,0.11392405063291139
NPE,0.15625,0.21333333333333335,0.14736842105263157,0.10126582278481013
PEm,0.10416666666666667,0.2,0.09473684210526316,0.13924050632911392
NPEm,0.0625,0.12,0.14736842105263157,0.0759493670886076
DMS,0.010416666666666666,0.04,0.0,0.0379746835443038
TO,0.0,21.0,1.0,17.0
RT,1180.1332791666662,1074.4898854166668,1632.3771312500003,846.5692427083335
