answer,choicedCardRule,sortingRule,RT 
1,1,0,1607.3087 
0,0,0,186.724 
1,1,0,2636.2712 
1,1,0,2679.965 
1,1,0,1645.74 
1,1,0,1135.4988 
0,0,0,1780.9578 
0,0,0,2476.9262 
0,0,0,960.3176 
0,0,0,1265.1763 
0,0,0,888.6833 
0,0,0,853.0196 
1,0,1,1044.8895 
0,1,1,3356.8058 
1,2,1,5073.0721 
1,2,1,3649.1918 
1,0,1,3509.1181 
0,1,1,1372.8111 
0,1,1,2805.2865 
0,1,1,1532.5425 
0,1,1,1405.3606 
0,1,1,2537.0137 
0,1,1,1173.1324 
1,1,0,1436.7838 
1,2,0,4344.4598 
0,0,0,1684.8252 
0,0,0,1026.058 
0,0,0,920.4736 
0,0,0,816.734 
0,0,0,1128.8684 
0,0,0,948.4555 
1,0,2,1947.6762 
1,1,2,3723.5649 
1,1,2,7300.3597 
1,0,2,1227.5305 
0,2,2,4812.4039 
0,2,2,1603.5352 
0,2,2,1509.033 
0,2,2,1411.3495 
0,2,2,1459.9131 
0,2,2,1027.5499 
1,2,0,1251.7155 
0,0,0,2787.9974 
0,0,0,1659.491 
0,0,0,1452.2356 
0,0,0,827.1754 
0,0,0,755.6834 
0,0,0,875.8439 
