answer,choicedCardRule,sortingRule,RT 
2,-1,0,2004.2554 
2,-1,0,1806.7537 
1,2,0,1533.8826 
0,0,0,1084.469 
0,0,0,1196.7144 
0,0,0,869.3181 
0,0,0,661.0299 
0,0,0,877.0419 
0,0,0,701.2101 
1,0,2,892.8179 
2,-1,2,1002.7337 
2,-1,2,1037.9326 
2,-1,2,1135.7584 
0,2,2,1016.06 
0,2,2,780.4719 
0,2,2,701.1132 
0,2,2,637.2956 
0,2,2,757.0264 
0,2,2,693.1 
2,-1,1,903.4941 
1,2,1,734.8107 
1,0,1,788.5459 
0,1,1,941.3557 
0,1,1,612.4926 
0,1,1,876.9393 
0,1,1,949.1578 
0,1,1,941.0979 
2,-1,1,1088.8317 
2,-1,1,1128.1419 
0,1,1,727.3108 
1,1,0,948.6048 
1,1,0,988.6522 
0,0,0,725.5817 
0,0,0,892.6771 
0,0,0,636.8835 
0,0,0,645.2888 
1,1,0,964.579 
0,0,0,588.3656 
0,0,0,780.9721 
0,0,0,661.3023 
0,0,0,740.9297 
0,0,0,717.1563 
0,0,0,653.0588 
2,-1,2,897.83 
1,0,2,855.6811 
2,-1,2,979.0532 
2,-1,2,1036.4753 
1,1,2,609.7348 
0,2,2,812.696 
0,2,2,315.6434 
0,2,2,453.2825 
1,3,2,364.1804 
2,-1,2,653.1808 
2,-1,2,664.3623 
2,-1,2,612.7001 
2,-1,2,690.6088 
2,-1,2,753.2711 
2,-1,2,850.4657 
2,-1,2,892.0023 
1,1,2,614.3164 
1,3,2,692.3494 
1,1,2,821.2505 
1,0,2,821.1219 
2,-1,2,971.0266 
0,2,2,870.8344 
0,2,2,836.0707 
0,2,2,596.8979 
0,2,2,493.1562 
0,2,2,533.1659 
2,-1,2,836.0866 
2,-1,2,830.6808 
2,-1,2,828.8511 
2,-1,2,881.576 
0,2,2,723.8783 
1,2,0,821.1046 
2,-1,0,1025.3503 
1,2,0,881.6262 
0,0,0,828.3313 
0,0,0,692.661 
2,-1,0,1065.9757 
0,0,0,709.6735 
2,-1,0,1049.6079 
0,0,0,984.3447 
0,0,0,780.337 
0,0,0,757.2547 
1,0,1,724.8606 
1,2,1,932.8815 
0,1,1,797.3895 
0,1,1,604.6058 
2,-1,1,966.707 
2,-1,1,1006.6862 
0,1,1,1011.1333 
0,1,1,1068.6538 
0,1,1,1108.9799 
0,1,1,949.2215 
1,1,2,652.9809 
