,task1,task2,task3,task4
correct,0.78125,0.7647058823529411,0.7708333333333334,0.7205882352941176
error,0.21875,0.23529411764705882,0.22916666666666666,0.27941176470588236
CA,11.0,10.0,10.0,7.0
PE,0.020833333333333332,0.047058823529411764,0.041666666666666664,0.04411764705882353
NPE,0.19791666666666666,0.18823529411764706,0.1875,0.23529411764705882
PEm,0.14583333333333334,0.17647058823529413,0.14583333333333334,0.16176470588235295
NPEm,0.07291666666666667,0.058823529411764705,0.08333333333333333,0.11764705882352941
DMS,0.010416666666666666,0.0,0.03125,0.029411764705882353
TO,0.0,11.0,0.0,28.0
RT,1089.8027645833338,951.7827250000005,1106.2260302083334,846.2292968750003
