answer,choicedCardRule,sortingRule,RT 
0,0,0,1511.5049 
0,0,0,2242.9464 
0,0,0,1424.6813 
0,0,0,1101.1185 
0,0,0,900.4991 
0,0,0,1101.1438 
1,0,2,805.2966 
1,1,2,2109.0773 
1,3,2,1677.1134 
0,2,2,1192.3269 
0,2,2,1200.4874 
0,2,2,996.2409 
0,2,2,885.1153 
0,2,2,1312.9809 
0,2,2,1112.6147 
1,2,1,864.4845 
0,1,1,1644.7513 
0,1,1,2021.2938 
0,1,1,1452.5242 
0,1,1,1052.5145 
0,1,1,1212.9431 
0,1,1,1304.2848 
1,1,0,1221.3305 
1,1,0,1216.2231 
0,0,0,1504.8453 
0,0,0,1753.8829 
0,0,0,796.1072 
0,0,0,773.2182 
0,0,0,985.3363 
0,0,0,792.5891 
1,0,1,780.6227 
0,1,1,1380.3689 
0,1,1,1685.3449 
0,1,1,829.0426 
0,1,1,1133.4503 
0,1,1,1229.116 
0,1,1,1333.3937 
1,1,2,909.0561 
0,2,2,1693.1653 
0,2,2,1420.4141 
0,2,2,787.7164 
0,2,2,1188.8855 
0,2,2,861.2425 
0,2,2,741.9146 
1,2,1,1356.7178 
0,1,1,1812.8359 
0,1,1,1549.13 
0,1,1,973.4792 
